organisation,project,provision-reason,specification,dataset
government-organisation:D1342,,alternative,,area-of-outstanding-natural-beauty
government-organisation:D1342,,alternative,,article-4-direction-rule
government-organisation:D1342,,alternative,,battlefield
government-organisation:D1342,,alternative,,conservation-area
government-organisation:D1342,,alternative,,development-corporation
government-organisation:D1342,,alternative,,government-organisation
government-organisation:D1342,,alternative,,green-belt
government-organisation:D1342,,alternative,,national-park-authority
government-organisation:D1342,,alternative,,nonprofit
government-organisation:D1342,,alternative,,passenger-transport-executive
government-organisation:D1342,,alternative,,public-authority
government-organisation:D1342,,alternative,,ramsar
government-organisation:D1342,,alternative,,regional-park-authority
government-organisation:D1342,,alternative,,waste-authority
government-organisation:D1342,,alternative,,world-heritage-site
government-organisation:D1342,,encouraged,,article-4-direction-rule
government-organisation:D1342,,encouraged,,contribution-funding-status
government-organisation:D1342,,encouraged,,contribution-purpose
government-organisation:D1342,,encouraged,,design-code-category
government-organisation:D1342,,encouraged,,design-code-status
government-organisation:D1342,,encouraged,,developer-agreement-type
government-organisation:D1342,,encouraged,,green-belt-core
government-organisation:D1342,,encouraged,,infrastructure-funding-statement
government-organisation:D1342,,encouraged,,local-authority
government-organisation:D1342,,encouraged,,local-authority-type
government-organisation:D1342,,encouraged,,planning-permission-status
government-organisation:D1342,,encouraged,,planning-permission-type
government-organisation:D1342,,prospective,,development-plan-type
government-organisation:D1342,,statutory,,ownership-status
government-organisation:D1342,,statutory,,site-category
government-organisation:D303,,authoritative,,local-authority-district
government-organisation:D303,,authoritative,,local-planning-authority
government-organisation:D303,,authoritative,,national-park
government-organisation:D303,,authoritative,,parish
government-organisation:D303,,authoritative,,region
government-organisation:PB1164,,alternative,,conservation-area
government-organisation:PB1164,,authoritative,,battlefield
government-organisation:PB1164,,authoritative,,building-preservation-notice
government-organisation:PB1164,,authoritative,,certificate-of-immunity
government-organisation:PB1164,,authoritative,,heritage-at-risk
government-organisation:PB1164,,authoritative,,listed-building
government-organisation:PB1164,,authoritative,,listed-building-grade
government-organisation:PB1164,,authoritative,,park-and-garden
government-organisation:PB1164,,authoritative,,park-and-garden-grade
government-organisation:PB1164,,authoritative,,protected-wreck-site
government-organisation:PB1164,,authoritative,,scheduled-monument
government-organisation:PB1164,,authoritative,,world-heritage-site
government-organisation:PB1164,,authoritative,,world-heritage-site-buffer-zone
government-organisation:PB202,,authoritative,,ancient-woodland
government-organisation:PB202,,authoritative,,ancient-woodland-status
government-organisation:PB202,,authoritative,,area-of-outstanding-natural-beauty
government-organisation:PB202,,authoritative,,heritage-coast
government-organisation:PB202,,authoritative,,ramsar
government-organisation:PB202,,authoritative,,site-of-special-scientific-interest
government-organisation:PB202,,authoritative,,special-area-of-conservation
government-organisation:PB202,,authoritative,,special-protection-area
nonprofit:Q180,,alternative,,development-corporation
nonprofit:Q180,,alternative,,government-organisation
nonprofit:Q180,,alternative,,local-authority
nonprofit:Q180,,alternative,,national-park-authority
nonprofit:Q180,,alternative,,nonprofit
nonprofit:Q180,,alternative,,passenger-transport-executive
nonprofit:Q180,,alternative,,public-authority
nonprofit:Q180,,alternative,,regional-park-authority
nonprofit:Q180,,alternative,,waste-authority
local-authority:BDG,design-codes,expected,design-code,design-code
local-authority:BDG,design-codes,expected,design-code,design-code-area
local-authority:BDG,design-codes,expected,design-code,design-code-rule
local-authority:BEN,design-codes,expected,design-code,design-code
local-authority:BEN,design-codes,expected,design-code,design-code-area
local-authority:BEN,design-codes,expected,design-code,design-code-rule
local-authority:BPC,design-codes,expected,design-code,design-code
local-authority:BPC,design-codes,expected,design-code,design-code-area
local-authority:BPC,design-codes,expected,design-code,design-code-rule
local-authority:BRD,design-codes,expected,design-code,design-code
local-authority:BRD,design-codes,expected,design-code,design-code-area
local-authority:BRD,design-codes,expected,design-code,design-code-rule
local-authority:CAB,design-codes,expected,design-code,design-code
local-authority:CAB,design-codes,expected,design-code,design-code-area
local-authority:CAB,design-codes,expected,design-code,design-code-rule
local-authority:CAR,design-codes,expected,design-code,design-code
local-authority:CAR,design-codes,expected,design-code,design-code-area
local-authority:CAR,design-codes,expected,design-code,design-code-rule
local-authority:DAL,design-codes,expected,design-code,design-code
local-authority:DAL,design-codes,expected,design-code,design-code-area
local-authority:DAL,design-codes,expected,design-code,design-code-rule
local-authority:DUD,design-codes,expected,design-code,design-code
local-authority:DUD,design-codes,expected,design-code,design-code-area
local-authority:DUD,design-codes,expected,design-code,design-code-rule
local-authority:EPP,design-codes,expected,design-code,design-code
local-authority:EPP,design-codes,expected,design-code,design-code-area
local-authority:EPP,design-codes,expected,design-code,design-code-rule
local-authority:ERY,design-codes,expected,design-code,design-code
local-authority:ERY,design-codes,expected,design-code,design-code-area
local-authority:ERY,design-codes,expected,design-code,design-code-rule
local-authority:GED,design-codes,expected,design-code,design-code
local-authority:GED,design-codes,expected,design-code,design-code-area
local-authority:GED,design-codes,expected,design-code,design-code-rule
local-authority:MAS,design-codes,expected,design-code,design-code
local-authority:MAS,design-codes,expected,design-code,design-code-area
local-authority:MAS,design-codes,expected,design-code,design-code-rule
local-authority:MDW,design-codes,expected,design-code,design-code
local-authority:MDW,design-codes,expected,design-code,design-code-area
local-authority:MDW,design-codes,expected,design-code,design-code-rule
local-authority:REI,design-codes,expected,design-code,design-code
local-authority:REI,design-codes,expected,design-code,design-code-area
local-authority:REI,design-codes,expected,design-code,design-code-rule
local-authority:SCA,design-codes,expected,design-code,design-code
local-authority:SCA,design-codes,expected,design-code,design-code-area
local-authority:SCA,design-codes,expected,design-code,design-code-rule
local-authority:SHR,design-codes,expected,design-code,design-code
local-authority:SHR,design-codes,expected,design-code,design-code-area
local-authority:SHR,design-codes,expected,design-code,design-code-rule
local-authority:SRY,design-codes,expected,design-code,design-code
local-authority:SRY,design-codes,expected,design-code,design-code-area
local-authority:SRY,design-codes,expected,design-code,design-code-rule
local-authority:TEI,design-codes,expected,design-code,design-code
local-authority:TEI,design-codes,expected,design-code,design-code-area
local-authority:TEI,design-codes,expected,design-code,design-code-rule
local-authority:TRF,design-codes,expected,design-code,design-code
local-authority:TRF,design-codes,expected,design-code,design-code-area
local-authority:TRF,design-codes,expected,design-code,design-code-rule
local-authority:UTT,design-codes,expected,design-code,design-code
local-authority:UTT,design-codes,expected,design-code,design-code-area
local-authority:UTT,design-codes,expected,design-code,design-code-rule
national-park-authority:Q27159704,design-codes,expected,design-code,design-code
national-park-authority:Q27159704,design-codes,expected,design-code,design-code-area
national-park-authority:Q27159704,design-codes,expected,design-code,design-code-rule
local-authority:BOS,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:BOS,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:BOS,open-digital-planning,expected,conservation-area,conservation-area
local-authority:BOS,open-digital-planning,expected,conservation-area,conservation-area-document
local-authority:BOS,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:BOS,open-digital-planning,expected,tree-preservation-order,tree
local-authority:BOS,open-digital-planning,expected,tree-preservation-order,tree-preservation-order
local-authority:BOS,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:BUC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:BUC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:BUC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:BUC,open-digital-planning,expected,conservation-area,conservation-area-document
local-authority:BUC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree-preservation-order
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:CAT,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:CAT,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:CAT,open-digital-planning,expected,conservation-area,conservation-area
local-authority:CAT,open-digital-planning,expected,conservation-area,conservation-area-document
local-authority:CAT,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree-preservation-order
