reference,role,priority,include-exclude,dataset,local-authority-type,organisation,entry-date,start-date,end-date,notes
LPA-LA,local-planning-authority,3,include,local-authority,,,,1947-08-06,,
LPA-COMB,local-planning-authority,2,exclude,,COMB,,,1947-08-06,,
LPA-SRA,local-planning-authority,2,exclude,,SRA,,,1947-08-06,,
LPA-CTY,local-planning-authority,2,exclude,,CTY,,,1947-08-06,,
LPA-NP,local-planning-authority,3,include,national-park-authority,,,,1947-08-06,,
LPA-EDC,local-planning-authority,3,include,,,development-corporation:Q72463795,,2015-04-20,,
LPA-OOPRDC,local-planning-authority,3,include,,,development-corporation:Q20648596,,2015-04-01,,
LPA-HDC,local-planning-authority,3,include,,,development-corporation:Q124604981,,2023-02-27,,
LPA-STDC,local-planning-authority,3,include,,,development-corporation:Q72456968,,2017-08-01,,
LPA-MDC,local-planning-authority,3,include,,,development-corporation:Q117149370,,2023-02-27,,
MPA-CTY,mineral-planning-authority,3,include,,CTY,,,1990-05-24,,
MPA-UA,mineral-planning-authority,3,include,,UA,,,1990-05-24,,
MPA-LBO,mineral-planning-authority,3,include,,LBO,,,1990-05-24,,
MPA-MD,mineral-planning-authority,3,include,,MD,,,1990-05-24,,
MPA-CC,mineral-planning-authority,3,include,,CC,,,1990-05-24,,
MPA-NP,mineral-planning-authority,3,include,national-park-authority,,,,1990-05-24,,
MPA-SRA,mineral-planning-authority,3,include,,SRA,,,1990-05-24,,
WPA-CTY,waste-planning-authority,3,include,,CTY,,,1990-05-24,,
WPA-UA,waste-planning-authority,3,include,,UA,,,1990-05-24,,
WPA-LBO,waste-planning-authority,3,include,,LBO,,,1990-05-24,,
WPA-MD,waste-planning-authority,3,include,,MD,,,1990-05-24,,
WPA-CC,waste-planning-authority,3,include,,CC,,,1990-05-24,,
WPA-SRA,waste-planning-authority,3,include,,SRA,,,1990-05-24,,
WPA-NP,waste-planning-authority,3,include,national-park-authority,,,,1990-05-24,,
WPA-WA,waste-planning-authority,3,include,waste-authority,,,,1990-05-24,,
LPG-LPG,local-planning-group,3,include,local-planning-group,,,,2026-01-01,,
LCA-COMB,local-combined-authority,2,include,,COMB,,,1947-08-06,,
LCA-SRA,local-combined-authority,2,include,,SRA,,,1947-08-06,,
