field,name,datatype,cardinality,parent-field,replacement-field,description,end-date
Deliverable,Deliverable,flag,True,category,deliverable,,2019-10-31
DevelopmentDescription,Development description,text,True,text,notes,,2019-10-31
EndDate,EndDate,datetime,True,datetime,end-date,,2019-10-31
FirstAddedDate,FirstAddedDate,datetime,True,datetime,start-date,,2019-10-31
GeoX,GeoX,string,True,value,longitude,,2019-10-31
GeoY,GeoY,string,True,value,latitude,,2019-10-31
HazardousSubstances,HazardousSubstances,flag,True,category,hazardous-substances,,2019-10-31
Hectares,Hectares,decimal,True,value,hectares,,2019-10-31
LastUpdatedDate,LastUpdatedDate,datetime,True,datetime,entry-date,,2019-10-31
MinNetDwellings,Minimum net dwellings,integer,True,number,,,2019-10-31
NetDwellingsRangeFrom,Minimum net dwellings,integer,True,number,minimum-net-dwellings,,2019-10-31
NetDwellingsRangeTo,Maximum net dwellings,integer,True,number,maximum-net-dwellings,,2019-10-31
Notes,Notes,text,True,text,notes,,2019-10-31
OrganisationLabel,OrganisationLabel,string,True,value,,,2019-10-31
OrganisationURI,OrganisationURI,url,True,url,organisation,,2019-10-31
OwnershipStatus,OwnershipStatus,string,True,value,ownership-status,,2019-10-31
PermissionDate,Planning permission date,datetime,True,datetime,planning-permission-date,,2019-10-31
PermissionType,Planning permission type,string,True,category,planning-permission-type,,2019-10-31
PlanningHistory,Planning permission history,url,False,document-url,planning-permission-history,,2019-10-31
PlanningStatus,Planning permission status,string,True,category,planning-permission-status,,2019-10-31
SiteInformation,Site information,text,True,text,notes,,2019-10-31
SiteNameAddress,SiteNameAddress,string,True,value,address-text,,2019-10-31
SiteReference,SiteReference,string,True,geography,site,,2019-10-31
SiteplanURL,SiteplanURL,url,True,url,site-plan-url,,2019-10-31
address,Address,string,True,geography,,,
address-text,Address text,string,True,text,,,
addressbase-custodian,AddressBase custodian,string,True,organisation,,,
amount,Amount,decimal,True,number,,,
ancient-woodland,Ancient Woodland,string,True,geography,,,
area-of-outstanding-natural-beauty,Area of Outstanding Natural Beauty,string,True,geography,,,
article-4-direction,Article-4 Direction,string,True,geography,,,
attribution,Attribution,text,True,text,,,
battlefield,Battlefield,string,True,geography,,,
billing-authority,Billing authority,string,True,organisation,,,
brownfield-land,Brownfield Land,string,True,geography,,,
brownfield-site,Brownfield Site,string,True,geography,,,
building-preservation-notice,Building preservation notice,string,True,geography,,,
bytes,Bytes,integer,True,number,,,
