organisation,project,provision-reason,specification,dataset
local-authority:BUC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:BUC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:BUC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:BUC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:BUC,,statutory,,brownfield-land
local-authority:BUC,,encouraged,,developer-agreement
local-authority:BUC,,encouraged,,developer-agreement-contribution
local-authority:BUC,,encouraged,,developer-agreement-transaction
local-authority:CAT,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:CAT,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:CAT,open-digital-planning,expected,conservation-area,conservation-area
local-authority:CAT,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:CAT,,statutory,,brownfield-land
local-authority:CAT,,encouraged,,developer-agreement
local-authority:CAT,,encouraged,,developer-agreement-contribution
local-authority:CAT,,encouraged,,developer-agreement-transaction
local-authority:CMD,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:CMD,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:CMD,open-digital-planning,expected,conservation-area,conservation-area
local-authority:CMD,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:CMD,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CMD,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CMD,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:CMD,,statutory,,brownfield-land
local-authority:CMD,,encouraged,,developer-agreement
local-authority:CMD,,encouraged,,developer-agreement-contribution
local-authority:CMD,,encouraged,,developer-agreement-transaction
local-authority:DAC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:DAC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:DAC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:DAC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:DAC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DAC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DAC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:DAC,,statutory,,brownfield-land
local-authority:DAC,,encouraged,,developer-agreement
local-authority:DAC,,encouraged,,developer-agreement-contribution
local-authority:DAC,,encouraged,,developer-agreement-transaction
local-authority:DNC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:DNC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:DNC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:DNC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:DNC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DNC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DNC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:DNC,,statutory,,brownfield-land
local-authority:DNC,,encouraged,,developer-agreement
local-authority:DNC,,encouraged,,developer-agreement-contribution
local-authority:DNC,,encouraged,,developer-agreement-transaction
local-authority:GLO,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:GLO,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:GLO,open-digital-planning,expected,conservation-area,conservation-area
local-authority:GLO,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:GLO,open-digital-planning,expected,tree-preservation-order,tree
local-authority:GLO,open-digital-planning,expected,tree-preservation-order,tree
local-authority:GLO,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:GLO,,statutory,,brownfield-land
local-authority:GLO,,encouraged,,developer-agreement
local-authority:GLO,,encouraged,,developer-agreement-contribution
local-authority:GLO,,encouraged,,developer-agreement-transaction
local-authority:LBH,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:LBH,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:LBH,open-digital-planning,expected,conservation-area,conservation-area
local-authority:LBH,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:LBH,open-digital-planning,expected,tree-preservation-order,tree
local-authority:LBH,open-digital-planning,expected,tree-preservation-order,tree
local-authority:LBH,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:LBH,,statutory,,brownfield-land
local-authority:LBH,,encouraged,,developer-agreement
local-authority:LBH,,encouraged,,developer-agreement-contribution
local-authority:LBH,,encouraged,,developer-agreement-transaction
local-authority:MDW,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:MDW,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:MDW,open-digital-planning,expected,conservation-area,conservation-area
local-authority:MDW,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:MDW,open-digital-planning,expected,tree-preservation-order,tree
local-authority:MDW,open-digital-planning,expected,tree-preservation-order,tree
local-authority:MDW,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:MDW,,statutory,,brownfield-land
local-authority:MDW,,encouraged,,developer-agreement
local-authority:MDW,,encouraged,,developer-agreement-contribution
local-authority:MDW,,encouraged,,developer-agreement-transaction
local-authority:NBL,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:NBL,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:NBL,open-digital-planning,expected,conservation-area,conservation-area
local-authority:NBL,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:NBL,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NBL,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NBL,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:NBL,,statutory,,brownfield-land
local-authority:NBL,,encouraged,,developer-agreement
local-authority:NBL,,encouraged,,developer-agreement-contribution
local-authority:NBL,,encouraged,,developer-agreement-transaction
local-authority:NED,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:NED,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:NED,open-digital-planning,expected,conservation-area,conservation-area
local-authority:NED,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:NED,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NED,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NED,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:NED,,statutory,,brownfield-land
local-authority:NED,,encouraged,,developer-agreement
local-authority:NED,,encouraged,,developer-agreement-contribution
local-authority:NED,,encouraged,,developer-agreement-transaction
local-authority:NET,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:NET,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:NET,open-digital-planning,expected,conservation-area,conservation-area
local-authority:NET,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:NET,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NET,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NET,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:NET,,statutory,,brownfield-land
local-authority:NET,,encouraged,,developer-agreement
local-authority:NET,,encouraged,,developer-agreement-contribution
local-authority:NET,,encouraged,,developer-agreement-transaction
local-authority:SWK,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:SWK,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:SWK,open-digital-planning,expected,conservation-area,conservation-area
local-authority:SWK,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:SWK,open-digital-planning,expected,tree-preservation-order,tree
local-authority:SWK,open-digital-planning,expected,tree-preservation-order,tree
local-authority:SWK,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:SWK,,statutory,,brownfield-land
local-authority:SWK,,encouraged,,developer-agreement
local-authority:SWK,,encouraged,,developer-agreement-contribution
local-authority:SWK,,encouraged,,developer-agreement-transaction
government-organisation:D1342,,alternative,,area-of-outstanding-natural-beauty
government-organisation:D1342,,alternative,,article-4-direction-rule
government-organisation:D1342,,alternative,,battlefield
government-organisation:D1342,,alternative,,conservation-area
government-organisation:D1342,,alternative,,development-corporation
government-organisation:D1342,,alternative,,government-organisation
government-organisation:D1342,,alternative,,green-belt
government-organisation:D1342,,alternative,,national-park-authority
