organisation,dataset,specification,provision-reason,provision-rule,role,project,cohort,entry-date,start-date,end-date,notes
development-corporation:Q105544651,brownfield-site,,,BFS-LPA,local-planning-authority,,,,,1988-03-31,
development-corporation:Q105544654,brownfield-site,,,BFS-LPA,local-planning-authority,,,,,1986-03-31,
development-corporation:Q105544669,brownfield-site,,,BFS-LPA,local-planning-authority,,,,,1990-09-30,
development-corporation:Q117149370,article-4-direction,article-4-direction,prospective,A4-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,article-4-direction-area,article-4-direction,prospective,A4A-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,brownfield-land,brownfield-land,statutory,BFL-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,brownfield-site,,,BFS-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,conservation-area,conservation-area,prospective,CA-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,conservation-area-document,conservation-area,prospective,CAD-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,development-plan,development-plan,prospective,DP-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q117149370,development-plan-document,development-plan,prospective,DPD-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q117149370,development-plan-geography,development-plan,prospective,DPB-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q117149370,development-plan-timetable,development-plan,prospective,DPT-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q117149370,listed-building-outline,listed-building,prospective,LBO-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,tree,tree-preservation-order,prospective,TPOT-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,tree-preservation-order,tree-preservation-order,prospective,TPO-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q117149370,tree-preservation-zone,tree-preservation-order,prospective,TPOZ-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,article-4-direction,article-4-direction,prospective,A4-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,article-4-direction-area,article-4-direction,prospective,A4A-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,brownfield-land,brownfield-land,statutory,BFL-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,brownfield-site,,,BFS-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,conservation-area,conservation-area,prospective,CA-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,conservation-area-document,conservation-area,prospective,CAD-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,development-plan,development-plan,prospective,DP-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q124604981,development-plan-document,development-plan,prospective,DPD-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q124604981,development-plan-geography,development-plan,prospective,DPB-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q124604981,development-plan-timetable,development-plan,prospective,DPT-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q124604981,listed-building-outline,listed-building,prospective,LBO-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,tree,tree-preservation-order,prospective,TPOT-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,tree-preservation-order,tree-preservation-order,prospective,TPO-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q124604981,tree-preservation-zone,tree-preservation-order,prospective,TPOZ-LPA,local-planning-authority,,,,2023-02-27,,
development-corporation:Q20648596,article-4-direction,article-4-direction,prospective,A4-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,article-4-direction-area,article-4-direction,prospective,A4A-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,brownfield-land,brownfield-land,statutory,BFL-LPA,local-planning-authority,,,,2017-04-16,,
development-corporation:Q20648596,brownfield-site,,,BFS-LPA,local-planning-authority,,,,2015-04-01,,
development-corporation:Q20648596,conservation-area,conservation-area,prospective,CA-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,conservation-area-document,conservation-area,prospective,CAD-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,development-plan,development-plan,prospective,DP-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q20648596,development-plan-document,development-plan,prospective,DPD-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q20648596,development-plan-geography,development-plan,prospective,DPB-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q20648596,development-plan-timetable,development-plan,prospective,DPT-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q20648596,listed-building-outline,listed-building,prospective,LBO-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,tree,tree-preservation-order,prospective,TPOT-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,tree-preservation-order,tree-preservation-order,prospective,TPO-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q20648596,tree-preservation-zone,tree-preservation-order,prospective,TPOZ-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q3258953,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1981-01-01,1998-07-01,
development-corporation:Q3920908,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1981-01-01,1998-07-01,
development-corporation:Q4916714,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1992-01-01,1998-07-01,
development-corporation:Q4968888,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1989-01-19,1995-04-01,
development-corporation:Q5061392,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1988-06-30,1996-07-01,
development-corporation:Q5182976,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1947-02-01,1962-01-01,
development-corporation:Q6515953,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1988-06-30,1995-04-01,
development-corporation:Q6670544,article-4-direction,article-4-direction,prospective,A4-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,article-4-direction-area,article-4-direction,prospective,A4A-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,brownfield-land,brownfield-land,statutory,BFL-LPA,local-planning-authority,,,,2017-04-16,,
development-corporation:Q6670544,brownfield-site,,,BFS-LPA,local-planning-authority,,,,2012-03-09,,
development-corporation:Q6670544,conservation-area,conservation-area,prospective,CA-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,conservation-area-document,conservation-area,prospective,CAD-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,development-plan,development-plan,prospective,DP-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q6670544,development-plan-document,development-plan,prospective,DPD-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q6670544,development-plan-geography,development-plan,prospective,DPB-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q6670544,development-plan-timetable,development-plan,prospective,DPT-LPA,local-planning-authority,,,,2023-09-01,,
development-corporation:Q6670544,listed-building-outline,listed-building,prospective,LBO-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,tree,tree-preservation-order,prospective,TPOT-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,tree-preservation-order,tree-preservation-order,prospective,TPO-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670544,tree-preservation-zone,tree-preservation-order,prospective,TPOZ-LPA,local-planning-authority,,,,2022-06-01,,
development-corporation:Q6670837,brownfield-site,,,BFS-LPA,local-planning-authority,,,,2004-06-26,2013-01-24,
development-corporation:Q6861239,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1969-01-01,1992-04-01,
development-corporation:Q7177999,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1967-07-27,1988-10-01,
development-corporation:Q7205796,brownfield-site,,,BFS-LPA,local-planning-authority,,,,1993-04-01,1998-07-01,
