role,organisation,entry-date,start-date,end-date
local-planning-authority,development-corporation:Q105544651,,,1988-03-31
local-planning-authority,development-corporation:Q105544654,,,1986-03-31
local-planning-authority,development-corporation:Q105544669,,,1990-09-30
local-planning-authority,development-corporation:Q117149370,,2023-02-27,
local-planning-authority,development-corporation:Q124604981,,2023-02-27,
local-planning-authority,development-corporation:Q137717415,,2026-01-01,
local-planning-authority,development-corporation:Q20648596,,2015-04-01,
local-planning-authority,development-corporation:Q3258953,,1981-01-01,1998-07-01
local-planning-authority,development-corporation:Q3920908,,1981-01-01,1998-07-01
local-planning-authority,development-corporation:Q4916714,,1992-01-01,1998-07-01
local-planning-authority,development-corporation:Q4968888,,1989-01-19,1995-04-01
local-planning-authority,development-corporation:Q5061392,,1988-06-30,1996-07-01
local-planning-authority,development-corporation:Q5182976,,1947-02-01,1962-01-01
local-planning-authority,development-corporation:Q6515953,,1988-06-30,1995-04-01
local-planning-authority,development-corporation:Q6670837,,2004-06-26,2013-01-24
local-planning-authority,development-corporation:Q6861239,,1969-01-01,1992-04-01
local-planning-authority,development-corporation:Q7177999,,1967-07-27,1988-10-01
local-planning-authority,development-corporation:Q7205796,,1993-04-01,1998-07-01
local-planning-authority,development-corporation:Q72463795,,2015-04-20,
local-planning-authority,development-corporation:Q7694573,,1987-05-17,1998-07-01
local-planning-authority,development-corporation:Q7799380,,2003-10-29,2012-04-03
local-planning-authority,development-corporation:Q7832579,,1987-02-10,1998-07-01
local-planning-authority,development-corporation:Q7860503,,1987-05-15,1998-07-01
local-planning-authority,development-corporation:Q7986087,,2004-12-15,2014-03-31
local-planning-authority,development-corporation:northern-gateway-MDC,,,
local-planning-authority,development-corporation:old-trafford-MDC,,,
local-planning-authority,development-corporation:stockport-town-centre-MDC,,,
local-planning-authority,local-authority:ADU,,,
local-planning-authority,local-authority:ALL,,,2023-03-31
local-planning-authority,local-authority:AMB,,,
local-planning-authority,local-authority:ARU,,,
local-planning-authority,local-authority:ASF,,,
local-planning-authority,local-authority:ASH,,,
local-planning-authority,local-authority:AYL,,,2020-03-31
local-planning-authority,local-authority:BAB,,,
local-planning-authority,local-authority:BAE,,,
local-planning-authority,local-authority:BAI,,,
local-planning-authority,local-authority:BAN,,,
local-planning-authority,local-authority:BAR,,,2023-03-31
local-planning-authority,local-authority:BAS,,1996-04-01,
local-planning-authority,local-authority:BBD,,1998-04-01,
local-planning-authority,local-authority:BDF,,2009-04-01,
local-planning-authority,local-authority:BDG,,,
local-planning-authority,local-authority:BEN,,,
local-planning-authority,local-authority:BEX,,,
local-planning-authority,local-authority:BIR,,1986-07-01,
local-planning-authority,local-authority:BLA,,,
