schema,field
addressbase-custodian,addressbase-custodian
addressbase-custodian,organisation
addressbase-custodian,region
addressbase-custodian,uk
addressbase-custodian,start-date
addressbase-custodian,entry-date
addressbase-custodian,end-date
brownfield-land,organisation
brownfield-land,site
brownfield-land,address
brownfield-land,address-text
brownfield-land,longitude
brownfield-land,latitude
brownfield-land,site-plan-url
brownfield-land,hectares
brownfield-land,ownership-status
brownfield-land,hazardous-substances
brownfield-land,planning-permission-status
brownfield-land,planning-permission-type
brownfield-land,planning-permission-date
brownfield-land,planning-permission-history
brownfield-land,minimum-net-dwellings
brownfield-land,maximum-net-dwellings
brownfield-land,deliverable
brownfield-land,notes
brownfield-land,start-date
brownfield-land,entry-date
brownfield-land,end-date
