audience,datasets,consideration,description,documentation-url,end-date,entry-date,github-discussion,long-name,long-plural,name,json,prefix,specification,specification-reason,specification-status,start-date
,article-4-direction;article-4-direction-area,article-4-directions,,,,2025-11-08,30,,,Article 4 direction,"[{""dataset"": ""article-4-direction"", ""fields"": [{""description"": ""the <a href=\""#reference\"">reference</a> for the article 4 direction"", ""field"": ""reference"", ""guidance"": ""A reference or ID for each article 4 direction that is:\n\n- unique within your dataset\n- permanent - it doesn\u2019t change when the dataset is updated\nIf you don\u2019t use a reference already, you will need to create one. This can be a short set of letters or numbers.\n\nExample: `A4D1`\n""}, {""description"": ""the name of the article 4 direction"", ""field"": ""name"", ""guidance"": ""The official name of the article 4 direction.\n\nExample: `Old Market`\""\n""}, {""description"": ""a brief description of the article 4 direction"", ""field"": ""description"", ""guidance"": ""Optional short description of the article 4 direction\u2019s purpose.\n\nExample: The railways arches should not be demolished or have their use changed from commercial to residential.\n""}, {""description"": ""the URL of the web page where you can find information about the article 4 direction"", ""field"": ""documentation-url"", ""guidance"": ""The URL of the webpage on your website that introduces the document.\n\nEach document should be linked to from a documentation webpage that includes a short description of the data and the document you\u2019re linking to. Each article 4 direction should have a unique URL. This means you can create a separate page for each one, or you could list several on one page. If you do that, there must be a separate anchor link (fragment identifier) for each one.\n\nThis means each section of your page should have its own URL. Most publishing systems will allow you to use a hashtag to create the identifiers for each article 4 direction you list - as in the examples shown.\n\nExample:\n\nOne article 4 direction per page:\n\n`http://www.LPAwebsite.org.uk/data/article4directions/smithroad`\n\nMore than one article 4 direction per page with an anchor link for each one:\n\n`http://www.LPAwebsite.org.uk/data/article4directions#smithroad`\n\n`http://www.LPAwebsite.org.uk/data/article4directions#broadhousepark`\n""}, {""description"": ""the URL of the web page where you can find the document for the article 4 direction"", ""field"": ""document-url"", ""guidance"": ""The URL of an authoritative order or notice designating the article 4 direction.\n\nExample: `http://www.LPAwebsite.org.uk/article4direction1.pdf`\n""}, {""description"": ""optional notes"", ""field"": ""notes"", ""guidance"": ""Optional text on how this data was made or produced, or how it can be interpreted.\n""}, {""description"": ""the organisation responsible for this article 4 direction"", ""field"": ""organisation""}, {""description"": ""the date this information has been entered as a record"", ""field"": ""entry-date"", ""guidance"": ""The date the entity was last updated.\n\nIf the entity has never been updated, enter the same date as start-date.\n\nWrite in `YYYY-MM-DD` format.\n\nExample: `2022-12-20`\n""}, {""description"": ""the date the validity of the record starts"", ""field"": ""start-date"", ""guidance"": ""The date that the article 4 direction came into force, written in `YYYY-MM-DD` format.\n\nExample: `1984-03-28`\n""}, {""description"": ""the date the validity of the record ends"", ""field"": ""end-date"", ""guidance"": ""Where the article 4 direction is [no longer valid](https://standards.planning-data.dev/principles/#we-shouldn%E2%80%99t-delete-entries-in-a-register), this should be the date that it was no longer in effect, written in `YYYY-MM-DD` format. If this does not apply, leave the cell blank.\n\nExample: `1999-01-20`\n""}], ""name"": ""article 4 direction""}, {""dataset"": ""article-4-direction-area"", ""fields"": [{""description"": ""the <a href=\""#reference\"">reference</a> for the article 4 direction area"", ""field"": ""reference"", ""guidance"": ""A reference or ID for each article 4 direction area that is:\n\n- unique within your dataset\n- permanent - it doesn\u2019t change when the dataset is updated\nIf you don\u2019t use a reference already, you will need to create one. This can be a short set of letters or numbers.\n\nExample: `A4Da1`\n""}, {""description"": ""the name of the article 4 direction area"", ""field"": ""name"", ""guidance"": ""The official name of the article 4 direction. Example: `Old Market`\n""}, {""description"": ""the <a href=\""#reference\"">reference</a> for the <a href=\""article-4-direction-dataset\"">article 4 direction</a> entry"", ""field"": ""article-4-direction"", ""guidance"": ""The reference for the article 4 direction used in the article 4 direction dataset.\n\nExample: `A4D1`\n""}, {""dataset"": ""permitted-development-right"", ""description"": ""a list of one or more <a href=\""#reference\"">reference</a> values for <a href=\""article-4-direction-rule-dataset\"">permitted development right</a> entries, separated by a semi-colon ';'."", ""field"": ""permitted-development-rights"", ""guidance"": ""A list of the permitted development rights withdrawn by the article 4 direction.\n\nSeparate the rights in the list using semicolons.\n\nOnly use rights from our [permitted development right dataset](https://www.planning.data.gov.uk/dataset/permitted-development-right). If the area withdraws a permitted development right that is not in our dataset, email digitalland@communities.gov.uk.\n\nExample: `3D;3M;11B`\n""}, {""description"": ""unique property reference numbers for any addressable properties, separated by `;`"", ""field"": ""uprns"", ""guidance"": ""If the geometry is the boundary of a building, you can provide the Unique Property Reference Number (UPRN). Find the UPRN on GeoPlace.\n\nIf you provide the UPRN, you must also provide the address text.\n""}, {""description"": ""the addresses of any properties reference. The addresses should be written as address-text (a single line separated by commas). To write multiple addresses end each address with `;`"", ""field"": ""address-texts"", ""guidance"": ""If the geometry is the boundary of a building, you can provide the address of the article 4 direction, written as text.\n\nIf you provide the address text, you must also provide the UPRN.\n\nExample: `100 High Street, Bath`\n""}, {""description"": ""the boundary of the area covered by the article 4 direction in WKT format"", ""field"": ""geometry"", ""guidance"": ""The boundary for the article 4 direction area as a single polygon or multipolygon value. All points in the polygon must be in the WGS84 coordinate reference system.\n\nIf you\u2019re providing geometry in a CSV, geometry should be in well-known text (WKT).\n\nExample: `MULTIPOLYGON (((1.188829 51.23478,1.188376 51.234909,1.188381 51.234917,1.187912 51.235022...`\n\nIf you\u2019re providing geometry in a GeoJSON, GML or Geopackage, use the associated geometry format.\n""}, {""description"": ""centre point of the area"", ""field"": ""point""}, {""description"": ""optional notes"", ""field"": ""notes"", ""guidance"": ""Optional text on how this data was made or produced, or how it can be interpreted.\n""}, {""description"": ""the organisation responsible for article 4 direction area"", ""field"": ""organisation""}, {""description"": ""the date this information has been entered as a record"", ""field"": ""entry-date"", ""guidance"": ""The date the entity was last updated.\n\nIf the entity has never been updated, enter the same date as start-date.\n\nWrite in `YYYY-MM-DD` format.\n\nExample: `2022-12-20`\n""}, {""description"": ""the date the validity of the record starts"", ""field"": ""start-date"", ""guidance"": ""The date that the article 4 direction came into force, written in YYYY-MM-DD format.\n\nExample: `1984-03-28`\n""}, {""description"": ""the date the validity of the record ends"", ""field"": ""end-date"", ""guidance"": ""If applicable, the date that the article 4 direction was no longer in effect, written in `YYYY-MM-DD` format. If this does not apply, leave the cell blank.\n\nExample: `1999-01-20`\n""}], ""name"": ""article 4 direction area""}]",,article-4-direction,digital-planning-funding,candidate-standard,
,asset-of-community-value,assets-of-community-value,,,,2025-03-04,100,,,Asset of community value,"[{""dataset"": ""asset-of-community-value"", ""description"": ""Buildings or pieces of land that are used for the social wellbeing and interests of the local community"", ""fields"": [{""description"": ""a unique code for this asset of community value, for example `A-CV-1`"", ""field"": ""reference""}, {""description"": ""a name for the asset of community value, for example, Magdala Public House"", ""field"": ""name""}, {""description"": ""an address for the asset"", ""field"": ""address-text""}, {""description"": ""a description of the asset of community value"", ""field"": ""description""}, {""description"": ""coordinates, in WGS84, of the asset"", ""field"": ""point""}, {""description"": ""if available, a boundary for the asset in WKT format"", ""field"": ""geometry""}, {""description"": ""a code for the authority whose register it is on, e.g. local-authority:CMD"", ""field"": ""organisation""}, {""description"": ""the date the asset was nominated to go on the register"", ""field"": ""nomination-date""}, {""description"": ""the group who nominated the asset, for example, Friends of the Magdala"", ""field"": ""nominating-group""}, {""description"": ""the decision whether successful or unsuccessful"", ""field"": ""decision""}, {""description"": ""the date the decision was published, in `YYYY-MM-DD` format"", ""field"": ""decision-date""}, {""description"": ""the date the listing on the register expires, usually 5 years after the decision date, for example 2029-12-01"", ""field"": ""expiry-date""}, {""description"": ""the date the owner informs the authority of their wish to sell the asset"", ""field"": ""notification-to-sell-date""}, {""description"": ""the group that has registered an interest, triggering the moratorim period"", ""field"": ""interested-group""}, {""description"": ""the date the protection period starts. It will last 18 months from this date."", ""field"": ""protected-period-start-date""}, {""description"": ""optional notes"", ""field"": ""notes""}, {""description"": ""the date this record was created"", ""field"": ""entry-date""}, {""description"": ""the date the asset was nominated"", ""field"": ""start-date""}, {""description"": ""the date this assets was removed from the asset register"", ""field"": ""end-date""}]}]",,asset-of-community-value,prospective,working-draft,
,brownfield-land,brownfield-land,,https://www.gov.uk/government/publications/brownfield-land-registers-data-standard/publish-your-brownfield-land-data,,2022-06-09,28,,,Brownfield land,"[{""dataset"": ""brownfield-land"", ""fields"": [{""field"": ""OrganisationURI"", ""requirement-level"": ""SHOULD""}, {""dataset-field"": ""reference"", ""field"": ""SiteReference"", ""requirement-level"": ""MUST""}, {""dataset-field"": ""name"", ""field"": ""SiteNameAddress"", ""requirement-level"": ""MUST""}, {""field"": ""GeoX"", ""requirement-level"": ""MUST""}, {""field"": ""GeoY"", ""requirement-level"": ""MUST""}, {""field"": ""SiteplanURL"", ""requirement-level"": ""MUST""}, {""field"": ""Hectares"", ""requirement-level"": ""MUST""}, {""field"": ""OwnershipStatus"", ""requirement-level"": ""MUST""}, {""field"": ""PlanningStatus"", ""requirement-level"": ""MUST""}, {""field"": ""PermissionType"", ""requirement-level"": ""SHOULD""}, {""field"": ""PermissionDate"", ""requirement-level"": ""SHOULD""}, {""field"": ""PlanningHistory"", ""requirement-level"": ""SHOULD""}, {""field"": ""Deliverable"", ""requirement-level"": ""MUST""}, {""field"": ""NetDwellingsRangeFrom"", ""requirement-level"": ""MUST""}, {""field"": ""NetDwellingsRangeTo"", ""requirement-level"": ""MUST""}, {""field"": ""HazardousSubstances"", ""requirement-level"": ""SHOULD""}, {""field"": ""Notes"", ""requirement-level"": ""MAY""}, {""dataset-field"": ""start-date"", ""field"": ""FirstAddedDate"", ""requirement-level"": ""MUST""}, {""dataset-field"": ""entry-date"", ""field"": ""LastUpdatedDate"", ""requirement-level"": ""MUST""}, {""dataset-field"": ""end-date"", ""field"": ""EndDate"", ""requirement-level"": ""MAY""}], ""name"": ""brownfield land"", ""priority"": 1, ""requirement-level"": ""MUST""}]",,brownfield-land,brownfield-land-2017,open-standard,
,community-infrastructure-levy-schedule,community-infrastructure-levy,,,,2024-12-12,99,,,Community infrastructure levy,"[{""dataset"": ""community-infrastructure-levy-schedule"", ""description"": ""A document that sets out the CIL charge rates for an area"", ""fields"": [{""description"": ""a unique code for this document record, for example `ADU/1`"", ""field"": ""reference""}, {""description"": ""a name for the document, for example, CIL Schedule 2023"", ""field"": ""name""}, {""description"": ""a field to provide details about the document"", ""field"": ""description""}, {""description"": ""a URL to the publication whether it is document, such as a pdf, or a webpage"", ""field"": ""document-url""}, {""description"": ""a URL to the page on a planning authority site where this document is published"", ""field"": ""documentation-url""}, {""description"": ""a code for the organisation that published the schedule"", ""field"": ""organisation""}, {""description"": ""the date the schedule was adopted, for example 2024-12-01"", ""field"": ""adopted-date""}, {""description"": ""optional notes"", ""field"": ""notes""}, {""description"": ""the date this record was created"", ""field"": ""entry-date""}, {""description"": ""the date the document was published"", ""field"": ""start-date""}, {""description"": ""the date this document was superseded"", ""field"": ""end-date""}]}]",,community-infrastructure-levy,prospective,working-draft,
,conservation-area;conservation-area-document,conservation-areas,,,,2023-09-08,33,,,Conservation area,"[{""dataset"": ""conservation-area"", ""fields"": [{""description"": ""provide a reference such as CA01"", ""field"": ""reference"", ""guidance"": ""A reference or ID for each conservation area that is:\n\n- unique within your dataset\n- permanent - it doesn't change when the dataset is updated\nIf you don't use a reference already, you will need to create one. This can be a short set of letters or numbers.\n\nExample: `CA01`\n""}, {""description"": ""the official name for the conservation area"", ""field"": ""name"", ""guidance"": ""The official name of the conservation area.\n\nExample: `Old Market`\n""}, {""description"": ""the date that the conservation area was officially designated"", ""field"": ""designation-date"", ""guidance"": ""The date that the conservation area was officially designated, written in YYYY-MM-DD format.\n\nExample:\n\n`1984-03-28`\n\nWith dates, some data is better than no data, so:\n\n- `1984` is fine\n- `1984-03` is better\n- `1984-04-28` is brilliant\n""}, {""description"": ""a URL to the authoritative source for the area, this is often a PDF containing a map with the area drawn on it"", ""field"": ""document-url"", ""guidance"": ""A URL to the document containing the authoritative source for the area. This is usually a PDF containing the area drawn on a map.\n\nExample: `http://www.LPAwebsite.org.uk/data/conservationareas/smithroad-area.pdf`\n""}, {""description"": ""a URL to a page on the local planning authority website that provides information about the conservation area"", ""field"": ""documentation-url"", ""guidance"": ""The URL of the webpage on your website that introduces the document.\n\nEach document should be linked to from a documentation webpage that includes a short description of the data and the document you\u2019re linking to. Each conservation area should have a unique URL. This means you can create a separate page for each one, or you could list several on one page. If you do that, there must be a separate anchor (fragment identifier) for each one. This means each section of your page should have its own URL. Most publishing systems will allow you to use a hashtag to create the identifiers for each conservation area you list - as in the examples shown.\n\nExamples:\n\nOne conservation area per page: `http://www.LPAwebsite.org.uk/conservationareas/smithroad`\n\nMore than one conservation area per page with an anchor link for each one:\n\n`http://www.LPAwebsite.org.uk/conservationareas#smithroad`\n\n`http://www.LPAwebsite.org.uk/conservationareas#broadhousepark`\n\n![](https://digital-land.github.io/images/diagrams/document-documentation-url.png)\n""}, {""description"": ""the boundary of a designated conservation area"", ""field"": ""geometry"", ""guidance"": ""The boundary for the designated conservation area. The boundary may be a single polygon or a multipolygon value. All points should be in the WGS84 coordinate reference system if possible. If you can\u2019t do this, give us what you have and then we can transform it into WGS84. However, this could mean there\u2019s a small loss of precision when we do the transformation. If you\u2019re providing geometry in a CSV, geometry should be in well-known text (WKT).\n\nExample: `MULTIPOLYGON (((1.188829 51.23478,1.188376 51.234909,1.188381 51.234917,1.187912 51.235022...`\n\nIf you\u2019re providing geometry in a GeoJSON, GML or Geopackage, use the associated geometry format.\n""}, {""description"": ""provide the centre point of the conservation area if you do not have a full geometry available"", ""field"": ""point""}, {""description"": ""provide any extra information if needed"", ""field"": ""notes"", ""guidance"": ""Optional text on how this data was made or produced, or how it can be interpreted.\n""}, {""description"": ""the organisation responsible for conservation areas"", ""field"": ""organisation"", ""guidance"": ""The code for the organisation responsible for the conservation area. If the responsible organisation is your local authority, leave this field blank and we will default to that. If another organisation is responsible, for example Historic England, then enter the code for that organisation.\n\nExample: `local-authority:BUC`\n\nCreate this code by using the relevant prefix, a colon (:), and the reference for your organisation from this [list of organisations](https://www.planning.data.gov.uk/organisation/).\n""}, {""description"": ""the date the information has been entered as a record"", ""field"": ""entry-date"", ""guidance"": ""The date the record was last updated.\n\nIf the entity has never been updated, enter the same date as start-date.\n\nWrite in `YYYY-MM-DD` format.\n\nExample:\n\n`2022-12-20`\n\nWith dates, some data is better than no data, so:\n\n- `2022` is fine\n- `2022-12` is better\n- `2022-12-20` is brilliant\n""}, {""description"": ""the date the validity of the record starts"", ""field"": ""start-date"", ""guidance"": ""The date the validity of the record starts, written in YYYY-MM-DD format. Usually, this will be the same as the designation date. If anything about the conservation area has changed, for example, the boundary, it should be the date of that change.\n\nExample:\n\n`1984-04-25`\n\nWith dates, some data is better than no data, so:\n\n- `1984` is fine\n- `1984-04` is better\n- `1984-04-25` is brilliant\n""}, {""description"": ""the date the validity of the record ends"", ""field"": ""end-date"", ""guidance"": ""Where the conservation area is no longer valid, this should be the date that it was no longer in effect, written in YYYY-MM-DD format. If this does not apply, leave the cell blank.\n\nExample:\n\n`1999-01-20`\n\nWith dates, some data is better than no data, so:\n\n- `1999` is fine\n- `1999-01` is better\n- `1984-01-20` is brilliant\n""}]}, {""dataset"": ""conservation-area-document"", ""fields"": [{""description"": ""provide a reference such as CA01-decision-notice"", ""field"": ""reference"", ""guidance"": ""A reference or ID for each document that is:\n\n- unique within your dataset\n- permanent - it doesn\u2019t change when the dataset is updated\nIf you don\u2019t use a reference already, you will need to create one. This can be a short set of letters or numbers.\n\nExample: `CADOC01`\n""}, {""description"": ""the reference for the conservation area this document is about"", ""field"": ""conservation-area"", ""guidance"": ""The reference for the conservation area this document refers to, as used in the conservation area dataset.\n\nExample: `CA1`\n""}, {""description"": ""the title of the conservation area document"", ""field"": ""name"", ""guidance"": ""The title of the document.\n\nExample: `Notice of Old Market conservation area designation`\n""}, {""description"": ""the URL of the webpage citing the document"", ""field"": ""documentation-url"", ""guidance"": ""The URL of the webpage introducing the document.\n\nEach document should be linked to on a documentation webpage that includes a short description of the data. The website URL should be unique for each conservation area, either by creating a separate page or a separate anchor (fragment identifier) for each one.\n\nExample: `http://www.LPAwebsite.org.uk/data#conservationarea1`\n""}, {""description"": ""the URL of the document"", ""field"": ""document-url"", ""guidance"": ""The URL of the document.\n\nExample: `http://www.LPAwebsite.org.uk/conservationarea1.pdf`\n""}, {""dataset"": ""conservation-area-document-type"", ""description"": ""the type of the conservation area document which must be one of the following values: 'area-appraisal', 'notice', or leave blank"", ""field"": ""document-type"", ""guidance"": ""The code for the type of document this record refers to. Find the code you need using this [finder tool](https://dluhc-datasets.planning-data.dev/dataset/conservation-area-document-type/finder).\n""}, {""description"": ""provide any extra information if needed"", ""field"": ""notes"", ""guidance"": ""Optional text on how this data was made or produced, or how it can be interpreted.\n""}, {""description"": ""the organisation that published the document"", ""field"": ""organisation""}, {""description"": ""the date this information has been entered as a record"", ""field"": ""entry-date"", ""guidance"": ""The date the entity was last updated.\n\nIf the entity has never been updated, enter the same date as start-date.\n\nWrite in YYYY-MM-DD format.\n\nExample:\n\n`1984-03-28`\n\nWith dates, some data is better than no data, so:\n\n- `1984` is fine\n- `1984-03` is better\n- `1984-03-28` is brilliant\n""}, {""description"": ""the date the validity of the record starts"", ""field"": ""start-date"", ""guidance"": ""The date the document was published, written in YYYY-MM-DD format.\n\nExample:\n\n`1984-03-28`\n\nWith dates, some data is better than no data, so:\n\n- `1984` is fine\n- `1984-03` is better\n- `1984-03-28` is brilliant\n""}, {""description"": ""the date the validity of the record ends"", ""field"": ""end-date"", ""guidance"": ""The date the document was withdrawn or superseded by another document, written in YYYY-MM-DD format. Leave this blank if the document is still relevant to planning.\n\nExample:\n\n`1984-03-28`\n\nWith dates, some data is better than no data, so:\n\n- `1984` is fine\n- `1984-03` is better\n- `1984-03-28` is brilliant\n""}]}]",,conservation-area,digital-planning-funding,candidate-standard,
,design-code;design-code-rule;design-code-area,,,,,2022-06-09,27,,,Design code,"[{""dataset"": ""design-code"", ""fields"": [{""description"": ""the <a href=\""#reference\"">reference</a> for the design code"", ""field"": ""reference""}, {""description"": ""the name, or title of the design code"", ""field"": ""name""}, {""description"": ""a short, single-line description of the design code"", ""field"": ""description""}, {""dataset"": ""design-code-status"", ""description"": ""a <a href=\""#design-code-status\"">design-code-status</a> reference"", ""field"": ""design-code-status""}, {""description"": ""the URL for the Web page with guidance on the design code policy document"", ""field"": ""documentation-url""}, {""description"": ""the URL for the Design Code. This should be a URL to a website or document"", ""field"": ""document-url""}, {""description"": ""optional notes on the status of the design code"", ""field"": ""notes""}, {""description"": ""the <a href=\""#date\"">date</a> the design code comes, or came into force"", ""field"": ""start-date""}, {""description"": ""the <a href=\""#date\"">date</a> this date the design code no longer applies"", ""field"": ""end-date""}, {""description"": ""the <a href=\""#date\"">date</a> this entry was created or last amended"", ""field"": ""entry-date""}], ""name"": ""design code""}, {""dataset"": ""design-code-rule"", ""fields"": [{""description"": ""the <a href=\""#reference\"">reference</a> for the design code rule"", ""field"": ""reference""}, {""description"": ""the name, or title of the design code rule"", ""field"": ""name""}, {""description"": ""the <a href=\""#reference\"">reference</a> for the design code where this rule is defined."", ""field"": ""design-code""}, {""description"": ""a short, single-line description of the design code rule"", ""field"": ""description""}, {""description"": ""the URL for the design code rule. This should be a URL to a website or document"", ""field"": ""document-url""}, {""description"": ""the URL for a page where we can find a link to the design code rule, this is usually a contents or summary page"", ""field"": ""documentation-url""}, {""dataset"": ""design-code-rule-category"", ""description"": ""a list of one or more <a href=\""#design-code-category\"">design-code-rule-categories</a> references, separated by a semi-colon ';' character"", ""example"": ""public-art;building-height"", ""field"": ""design-code-rule-categories""}, {""description"": ""a field to capture notes about the design code rule"", ""field"": ""notes""}, {""description"": ""the date this information has been entered as a record"", ""field"": ""entry-date""}, {""description"": ""the date the validity of the record starts"", ""field"": ""start-date""}, {""description"": ""the date the validity of the record ends"", ""field"": ""end-date""}], ""name"": ""design code rule""}, {""dataset"": ""design-code-area"", ""fields"": [{""description"": ""the <a href=\""#reference\"">reference</a> for the design code area"", ""field"": ""reference""}, {""description"": ""the name, or title of the design code area"", ""field"": ""name""}, {""description"": ""the boundaries of the design code area as a POLYGON or MULTIPOLYGON, with points in the EPSG 4326 coordinate reference system, and WGS85 datum, encoded in Well-Known Text (WKT) representation of geometry."", ""field"": ""geometry""}, {""description"": ""the <a href=\""#reference\"">reference</a> for the design code which applies to this area"", ""field"": ""design-code""}, {""description"": ""a list of one or more <a href=\""#reference\"">reference</a> values for <a href=\""design-code-rule-dataset\"">design code rule</a> entries, separated by a semi-colon ';' character."", ""field"": ""design-code-rules""}, {""dataset"": ""design-code-area-type"", ""description"": ""the classification of the area, for example Rural Settlements or Urban Neighbourhood"", ""field"": ""design-code-area-type""}, {""description"": ""the URL for guidance or information defining the design code area"", ""field"": ""documentation-url""}, {""description"": ""a field to capture notes about the design code area"", ""field"": ""notes""}, {""description"": ""the date this information has been entered as a record"", ""field"": ""entry-date""}, {""description"": ""the date the validity of the record starts"", ""field"": ""start-date""}, {""description"": ""the date the validity of the record ends"", ""field"": ""end-date""}], ""name"": ""design code area""}]",,design-code,prospective,working-draft,
,developer-agreement;developer-agreement-contribution;developer-agreement-transaction,,,,,2022-06-09,34,,,Developer contributions,"[{""dataset"": ""developer-agreement"", ""description"": ""A developer agreement is any legal document that secures contributions from a development for infrastructure or affordable housing (including section 106 planning obligations and section 278 agreements), or any demand notice for CIL."", ""fields"": [{""field"": ""reference""}, {""field"": ""name""}, {""field"": ""developer-agreement-type""}, {""field"": ""planning-application""}, {""field"": ""document-url""}, {""field"": ""notes""}, {""field"": ""organisation""}, {""field"": ""entry-date""}, {""field"": ""start-date""}, {""field"": ""end-date""}]}, {""dataset"": ""developer-agreement-contribution"", ""description"": ""Developer agreement contributions are the individual obligations or sums within an agreement, assigned to particular purposes such as affordable housing."", ""fields"": [{""field"": ""reference""}, {""field"": ""developer-agreement""}, {""field"": ""contribution-purpose""}, {""field"": ""amount""}, {""field"": ""units""}, {""field"": ""notes""}, {""field"": ""organisation""}, {""field"": ""entry-date""}, {""field"": ""start-date""}, {""field"": ""end-date""}]}, {""dataset"": ""developer-agreement-transaction"", ""fields"": [{""field"": ""reference""}, {""field"": ""developer-agreement-contribution""}, {""field"": ""contribution-funding-status""}, {""field"": ""amount""}, {""field"": ""units""}, {""field"": ""notes""}, {""field"": ""organisation""}, {""field"": ""entry-date""}, {""field"": ""start-date""}, {""field"": ""end-date""}]}]",,developer-contributions,cil-2019,open-standard,
,development-corporation-boundary,development-corporation,,,,2025-11-25,,,,development corporation boundary,"[{""dataset"": ""development-corporation-boundary"", ""fields"": [{""field"": ""reference"", ""requirement-level"": ""MUST""}, {""field"": ""name"", ""requirement-level"": ""SHOULD""}, {""field"": ""documentation-url"", ""requirement-level"": ""SHOULD""}, {""field"": ""document-url"", ""requirement-level"": ""SHOULD""}, {""field"": ""geometry"", ""requirement-level"": ""SHOULD""}, {""field"": ""entry-date"", ""requirement-level"": ""SHOULD""}, {""field"": ""start-date"", ""requirement-level"": ""SHOULD""}, {""field"": ""end-date"", ""requirement-level"": ""MAY""}, {""field"": ""notes"", ""requirement-level"": ""MAY""}], ""priority"": 1, ""requirement-level"": ""SHOULD""}]",,development-corporation-boundary,prospective,working-draft,
,development-policy;development-policy-area,,,,,2023-04-05,,,,Development policy,"[{""dataset"": ""development-policy"", ""fields"": [{""field"": ""reference""}, {""field"": ""name""}, {""field"": ""development-plan-document""}, {""field"": ""development-policy-categories""}, {""field"": ""organisation""}, {""field"": ""entry-date""}, {""field"": ""start-date""}, {""field"": ""end-date""}], ""name"": ""development policy""}, {""dataset"": ""development-policy-area"", ""fields"": [{""field"": ""reference""}, {""field"": ""name""}, {""dataset"": ""development-policy"", ""field"": ""development-policies""}, {""field"": ""geometry""}, {""field"": ""organisation""}, {""field"": ""entry-date""}, {""field"": ""start-date""}, {""field"": ""end-date""}], ""name"": ""development policy area""}]",,development-policy,prospective,working-draft,
,infrastructure-funding-statement,infrastructure-funding-statements,,,,2023-11-23,,,,Infrastructure funding statement,"[{""dataset"": ""infrastructure-funding-statement"", ""fields"": [{""description"": ""a unique identifier for the IFS document"", ""field"": ""reference""}, {""description"": ""the name given to the IFS document"", ""field"": ""name""}, {""description"": ""a url to the IFS document"", ""field"": ""document-url""}, {""description"": ""a url to the page where the IFS document has been published"", ""field"": ""documentation-url""}, {""description"": ""a reference to the publishing organisation"", ""field"": ""organisation""}, {""description"": ""a date for the start of the period the document covers"", ""field"": ""period-start-date""}, {""description"": ""a date for the end of the period the document covers"", ""field"": ""period-end-date""}, {""description"": ""any additional notes"", ""field"": ""notes""}, {""description"": ""the date this record was created"", ""field"": ""entry-date""}, {""description"": ""the date this record is valid from, for example the date the document was published to the urls provided"", ""field"": ""start-date""}, {""description"": ""the date this record is not longer true, for example if the urls to the document change"", ""field"": ""end-date""}]}]",,infrastructure-funding-statement,prospective,piloting,
